label,pattern,replace,category
habitat,clearing,,forest
habitat,clearings,,forest
habitat,jungle,,forest
habitat,jungles,,forest
habitat,plantation,,forest
habitat,plantation,,forest
habitat,trees,,forest
habitat,woodland,,forest
habitat,woodlands,,forest
habitat,woods,woodlands,forest
habitat,bayou,lake,lentic
habitat,bayous,lake,lentic
habitat,bog,pond,lentic
habitat,bogs,pond,lentic
habitat,fen,pool,lentic
habitat,fens,pool,lentic
habitat,lagoon,phytotelmata,lentic
habitat,lagoons,phytotelmata,lentic
habitat,lake,,lentic
habitat,lakes,lake,lentic
habitat,loch,,lentic
habitat,lochan,,lentic
habitat,lochans,,lentic
habitat,lochs,,lentic
habitat,lough,,lentic
habitat,loughs,,lentic
habitat,marsh,,lentic
habitat,marshes,,lentic
habitat,marshy,,lentic
habitat,moana,,lentic
habitat,phytotelma,phytotelmata,lentic
habitat,phytotelmata,,lentic
habitat,pond,,lentic
habitat,ponds,,lentic
habitat,pool,,lentic
habitat,pools,,lentic
habitat,pothole,,lentic
habitat,potholes,,lentic
habitat,puddle,,lentic
habitat,puddles,,lentic
habitat,reservoir,,lentic
habitat,reservoirs,,lentic
habitat,sagar,,lentic
habitat,stew,,lentic
habitat,stews,,lentic
habitat,swamp,,lentic
habitat,swamps,,lentic
habitat,swim,,lentic
habitat,swims,,lentic
habitat,tank,,lentic
habitat,tanks,,lentic
habitat,tarn,,lentic
habitat,tarns,,lentic
habitat,waterhole,,lentic
habitat,waterholes,,lentic
habitat,anabranch,river,lotic
habitat,anabranchs,river,lotic
habitat,beck,creek,lotic
habitat,becks,creek,lotic
habitat,billabong,rivulet,lotic
habitat,billabongs,rivulet,lotic
habitat,brook,,lotic
habitat,brooks,,lotic
habitat,burn,,lotic
habitat,burns,,lotic
habitat,canal,,lotic
habitat,canals,,lotic
habitat,channel,,lotic
habitat,channels,,lotic
habitat,creek,,lotic
habitat,creeks,,lotic
habitat,freshet,,lotic
habitat,freshets,,lotic
habitat,inlet,,lotic
habitat,inlets,,lotic
habitat,riffle,,lotic
habitat,riffles,,lotic
habitat,rill,,lotic
habitat,rills,,lotic
habitat,river,,lotic
habitat,rivers,,lotic
habitat,rivulet,,lotic
habitat,rivulets,,lotic
habitat,runnel,,lotic
habitat,runnels,,lotic
habitat,seep,,lotic
habitat,seeps,,lotic
habitat,stream,,lotic
habitat,streamlet,,lotic
habitat,streamlets,,lotic
habitat,streams,,lotic
habitat,tributaries,,lotic
habitat,tributary,,lotic
habitat,watercourse,,lotic
habitat,watercourses,,lotic
habitat,waterway,,lotic
habitat,waterways,,lotic
habitat,winterbourne,,lotic
habitat,winterbournes,,lotic
habitat,gap,,open
habitat,gaps,,open
habitat,glade,,open
habitat,glades,,open
habitat,out of the forest,open,open
