label,pattern,attr,replace
odonata,Acanthaeschna unicornis,lower,Austroaeschna unicornis
odonata,Acanthaeschna victoria,lower,
odonata,Acanthagrion ablutum,lower,Oxyagrion ablutum
odonata,Acanthagrion abunae,lower,
odonata,Acanthagrion acutum,lower,Oreiallagma acutum
odonata,Acanthagrion adustum,lower,
odonata,Acanthagrion aepiolum,lower,
odonata,Acanthagrion amazonicum,lower,
odonata,Acanthagrion apicale,lower,
odonata,Acanthagrion ascendens,lower,
odonata,Acanthagrion bonariense,lower,Cyanallagma bonariense
odonata,Acanthagrion chacoense,lower,
odonata,Acanthagrion chararum,lower,
odonata,Acanthagrion cheliferum,lower,Homeoura chelifera
odonata,Acanthagrion chicomendesi,lower,Acanthagrion apicale
odonata,Acanthagrion chirihuanum,lower,Telebasis obsoleta
odonata,Acanthagrion cuyabae,lower,
odonata,Acanthagrion cuyabae,lower,Acanthagrion cuyabae
odonata,Acanthagrion cuyabae,lower,Acanthagrion cuyabae
odonata,Acanthagrion deceptum,lower,Acanthagrion peruanum
odonata,Acanthagrion descendens,lower,
odonata,Acanthagrion dichrostigma,lower,
odonata,Acanthagrion egleri,lower,
odonata,Acanthagrion flaviae,lower,
odonata,Acanthagrion floridense,lower,
odonata,Acanthagrion fluviatile,lower,
odonata,Acanthagrion franciscoi,lower,
odonata,Acanthagrion gracile,lower,
odonata,Acanthagrion gracile,lower,Acanthagrion gracile
odonata,Acanthagrion gracile,lower,Acanthagrion gracile
odonata,Acanthagrion hartei,lower,Acanthagrion obsoletum
odonata,Acanthagrion hermosae,lower,Oxyagrion hermosae
odonata,Acanthagrion hildegarda,lower,
odonata,Acanthagrion imeriense,lower,Oxyagrion imeriense
odonata,Acanthagrion indefensum,lower,
odonata,Acanthagrion inexpectum,lower,
odonata,Acanthagrion interruptum,lower,Cyanallagma interruptum
odonata,Acanthagrion jessei,lower,
odonata,Acanthagrion kaori,lower,
odonata,Acanthagrion kennedii,lower,
odonata,Acanthagrion lancea,lower,
odonata,Acanthagrion latapistylum,lower,
odonata,Acanthagrion laterale,lower,Mesamphiagrion laterale
odonata,Acanthagrion leonardi,lower,Acanthagrion cuyabae
odonata,Acanthagrion leonora,lower,Acanthagrion obsoletum
odonata,Acanthagrion lindneri,lower,Homeoura lindneri
odonata,Acanthagrion longispinosum,lower,
odonata,Acanthagrion luna,lower,Acanthagrion obsoletum
odonata,Acanthagrion luteum,lower,Acanthagrion ascendens
odonata,Acanthagrion marinae,lower,
odonata,Acanthagrion minarum,lower,Acanthagrion gracile
odonata,Acanthagrion minutum,lower,
odonata,Acanthagrion nigrinuchale,lower,Cyanallagma nigrinuchale
odonata,Acanthagrion obsoletum,lower,
odonata,Acanthagrion peruanum,lower,
odonata,Acanthagrion peruvianum,lower,Acanthagrion floridense
odonata,Acanthagrion phallicorne,lower,
odonata,Acanthagrion quadratum,lower,
odonata,Acanthagrion risi,lower,Acanthagrion vidua
odonata,Acanthagrion rubrifrons,lower,
odonata,Acanthagrion speculum,lower,
odonata,Acanthagrion taxaense,lower,Fluminagrion taxaense
odonata,Acanthagrion temporale,lower,
odonata,Acanthagrion tepuiense,lower,
odonata,Acanthagrion triangulare,lower,
odonata,Acanthagrion trilobatum,lower,
odonata,Acanthagrion trimaculatum,lower,Cyanallagma trimaculatum
odonata,Acanthagrion truncatum,lower,
odonata,Acanthagrion vidua,lower,
odonata,Acanthagrion viridescens,lower,Acanthagrion cuyabae
odonata,Acanthagrion williamsoni,lower,
odonata,Acanthagrion yungarum,lower,
odonata,"Acanthagrion? cheliferum Selys, 1876",lower,Homeoura chelifera
odonata,Acanthagyna nigeriensis,lower,Gynacantha nigeriensis
odonata,Acanthagyna ochraceipes,lower,Gynacantha vesiculata
odonata,Acanthagyna victoriae,lower,Gynacantha victoriae
odonata,Acanthagyna zuluensis,lower,Gynacantha usambarica
odonata,Acanthallagma caeruleum,lower,
odonata,Acanthallagma luteum,lower,
odonata,Acanthallagma strohmi,lower,
odonata,Accaphila eudoxia,lower,Atoconeura eudoxia
odonata,Aceratobasis cornicauda,lower,
odonata,Aceratobasis macilenta,lower,
odonata,Aceratobasis mourei,lower,
odonata,Aceratobasis nathaliae,lower,
odonata,Aciagrion abercornensis,lower,Aciagrion steeleae
odonata,Aciagrion aciculare,lower,Aciagrion hisopa
odonata,Aciagrion africanum,lower,
odonata,Aciagrion approximans,lower,
odonata,Aciagrion attenuatum,lower,Aciagrion gracile
odonata,Aciagrion azureum,lower,
odonata,Aciagrion balachowskyi,lower,
odonata,Aciagrion bapepe,lower,
odonata,Aciagrion borneense,lower,
odonata,Aciagrion brosseti,lower,
odonata,Aciagrion dondoense,lower,
odonata,Aciagrion fasciculare,lower,
odonata,Aciagrion feuerborni,lower,
odonata,Aciagrion fragile,lower,
odonata,Aciagrion gracile,lower,
odonata,Aciagrion hamoni,lower,Aciagrion gracile
odonata,Aciagrion heterostictum,lower,
odonata,Aciagrion heterostictum,lower,Aciagrion heterostictum
odonata,Aciagrion hisopa,lower,
odonata,Aciagrion huaanensis,lower,
odonata,Aciagrion krishna,lower,Aciagrion approximans
odonata,Aciagrion macrootithenae,lower,
odonata,Aciagrion migratum,lower,
odonata,Aciagrion nodosum,lower,
odonata,Aciagrion occidentale,lower,
odonata,Aciagrion olympicum,lower,
odonata,Aciagrion pallidum,lower,
odonata,Aciagrion paludensis,lower,Aciagrion occidentale
odonata,Aciagrion pinheyi,lower,Aciagrion gracile
odonata,Aciagrion rarum,lower,
odonata,Aciagrion sagittiferum,lower,Austroallagma sagittiferum
odonata,Aciagrion steeleae,lower,
odonata,Aciagrion tillyardi,lower,Aciagrion approximans
odonata,Aciagrion tonsillare,lower,
odonata,Aciagrion varians,lower,Ceriagrion varians
odonata,Aciagrion walteri,lower,Pseudagrion cyathiforme
odonata,Aciagrion zambiense,lower,
odonata,Acisoma ascalaphoides,lower,
odonata,Acisoma attenboroughi,lower,
odonata,Acisoma inflatum,lower,
odonata,Acisoma lacroixi,lower,Acisoma trifidum
odonata,Acisoma panorpoides,lower,
odonata,Acisoma trifidum,lower,
odonata,Acisoma variegatum,lower,
odonata,Acrogomphus fraseri,lower,
odonata,Acrogomphus jubilaris,lower,
odonata,Acrogomphus malayanus,lower,
odonata,Acrogomphus minor,lower,Orientogomphus minor
odonata,Acrogomphus mohani,lower,Anisogomphus bivittatus
odonata,Acrogomphus walshi,lower,
odonata,Adversaeschna brevistyla,lower,
odonata,Adversaeschna brevistyla,lower,Adversaeschna brevistyla
odonata,Aenallagma robustum,lower,Enallagma annexum
odonata,Aeolagrion axine,lower,
odonata,Aeolagrion chimantai,lower,Tepuibasis chimantai
odonata,Aeolagrion demararum,lower,Telebasis demarara
odonata,Aeolagrion dorsale,lower,
odonata,Aeolagrion fulvum,lower,Tepuibasis fulva
odonata,Aeolagrion inalatum,lower,Telebasis inalata
odonata,Aeolagrion inca,lower,
odonata,Aeolagrion neblinae,lower,Tepuibasis neblinae
odonata,Aeolagrion philipi,lower,
odonata,Aeschna abbotti,lower,Coryphaeschna ingens
odonata,Aeschna adnexa,lower,Coryphaeschna adnexa
odonata,Aeschna alpina,lower,Aeshna mixta
odonata,Aeschna amazili,lower,Anax amazili
odonata,Aeschna ampla,lower,Amphiaeschna ampla
odonata,Aeschna anguina,lower,Gomphus pulchellus
odonata,Aeschna antilope,lower,Gomphaeschna antilope
odonata,Aeschna arida,lower,Aeshna palmata
odonata,Aeschna armata,lower,Oplonaeschna armata
odonata,Aeschna atshischgho,lower,Aeshna cyanea
odonata,Aeschna azurea,lower,Anax imperator
odonata,Aeschna borealis,lower,Aeshna caerulea
odonata,Aeschna brachystigma,lower,Aeshna juncea
odonata,Aeschna brevifrons,lower,Rhionaeschna brevifrons
odonata,Aeschna brevistyla,lower,Adversaeschna brevistyla
odonata,Aeschna castor,lower,Castoraeschna castor
odonata,Aeschna charpentieri,lower,Cordulegaster insignis
odonata,Aeschna chrysophthalmus,lower,Aeshna isoceles
odonata,Aeschna colorata,lower,Castoraeschna colorata
odonata,Aeschna coluberculus,lower,Aeshna mixta
odonata,Aeschna confusa,lower,Rhionaeschna confusa
odonata,Aeschna cornigera,lower,Rhionaeschna cornigera
odonata,Aeschna costalis,lower,Neuraeschna costalis
odonata,Aeschna crenata,lower,Aeshna crenata
odonata,Aeschna crenatoides,lower,Aeshna juncea
odonata,Aeschna cyanea,lower,Aeshna cyanea
odonata,Aeschna diffinis,lower,Rhionaeschna diffinis
odonata,Aeschna dorsalis,lower,Anax imperator
odonata,Aeschna ephippigera,lower,Anax ephippiger
odonata,Aeschna excisa,lower,Remartinia luteipennis
odonata,Aeschna fennica,lower,Aeshna serrata
odonata,Aeschna flavipes,lower,Stylurus flavipes
odonata,Aeschna florida,lower,Remartinia luteipennis
odonata,Aeschna gigas,lower,Aeshna crenata
odonata,Aeschna gigas,lower,Staurophlebia reticulata
odonata,Aeschna gracilis,lower,Gynacantha gracilis
odonata,Aeschna guttata,lower,Anax guttatus
odonata,Aeschna hamata,lower,Onychogomphus forcipatus
odonata,Aeschna hudsonica,lower,Aeshna eremita
odonata,Aeschna ingens,lower,Coryphaeschna ingens
odonata,Aeschna januaria,lower,Castoraeschna januaria
odonata,Aeschna jaspidea,lower,Anaciaeschna jaspidea
odonata,Aeschna juncea,lower,Aeshna juncea
odonata,Aeschna juncea,lower,Aeshna juncea
odonata,Aeschna juncea,lower,Aeshna juncea
odonata,Aeschna juncea,lower,Aeshna juncea
odonata,Aeschna lapponica,lower,Aeshna juncea
