label,pattern,attr,replace
odonata,Hemiphlebia mirabilis,lower,
odonata,Hemiphlebia mirabilis,lower,
odonata,Chlorolestes apricans,lower,
odonata,Chlorolestes conspicuus,lower,
odonata,Chlorolestes draconicus,lower,
odonata,Chlorolestes elegans,lower,
odonata,Chlorolestes fasciatus,lower,
odonata,Agrion fasciatum,lower,Chlorolestes fasciatus
odonata,Chlorolestes nigerrima,lower,Chlorolestes fasciatus
odonata,Chlorolestes tessellatus,lower,
odonata,Agrion tessellatum,lower,Chlorolestes tessellatus
odonata,Agrion longicaudum,lower,Chlorolestes tessellatus
odonata,Chlorolestes umbratus,lower,
odonata,Chorismagrion risi,lower,
odonata,Ecchlorolestes nylephtha,lower,
odonata,Chlorolestes nylephtha,lower,Ecchlorolestes nylephtha
odonata,Ecchlorolestes peringueyi,lower,
odonata,Chlorolestes peringueyi,lower,Ecchlorolestes peringueyi
odonata,Episynlestes albicaudus,lower,
odonata,Synlestes albicauda,lower,Episynlestes albicaudus
odonata,Episynlestes cristatus,lower,
odonata,Episynlestes intermedius,lower,
odonata,Megalestes australis,lower,
odonata,Megalestes distans,lower,
odonata,Megalestes gyalsey,lower,
odonata,Megalestes haui,lower,
odonata,Megalestes palaceus,lower,Megalestes haui
odonata,Megalestes heros,lower,
odonata,Megalestes suensoni,lower,Megalestes heros
odonata,Megalestes irma,lower,
odonata,Megalestes kurahashii,lower,
odonata,Megalestes lieftincki,lower,
odonata,Megalestes major,lower,
odonata,Megalestes micans,lower,
odonata,Megalestes chengi,lower,Megalestes micans
odonata,Megalestes raychoudhurii,lower,Megalestes micans
odonata,Megalestes discus,lower,Megalestes micans
odonata,Megalestes omeiensis,lower,
odonata,Megalestes riccii,lower,
odonata,Megalestes maai,lower,Megalestes riccii
odonata,Megalestes tuska,lower,Megalestes riccii
odonata,Nubiolestes diotima,lower,
odonata,Eolestes diotima,lower,Nubiolestes diotima
odonata,Eolestes diotima,lower,Nubiolestes diotima
odonata,Perilestes attenuatus,lower,
odonata,Perilestes bispinus,lower,
odonata,Perilestes eustaquioi,lower,
odonata,Perilestes fragilis,lower,
odonata,Perilestes gracillimus,lower,
odonata,Perilestes kahli,lower,
odonata,Perilestes minor,lower,
odonata,Perilestes solutus,lower,
odonata,Perissolestes aculeatus,lower,
odonata,Perissolestes castor,lower,
odonata,Perilestes castor,lower,Perissolestes castor
odonata,Perissolestes cornutus,lower,
